                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6361,                 1.0938,                 1.1354,                0.55371,                0.67341,                0.61743,                0.26698,                 1.8901,                 1.4278,                 1.3366,             0.00065385,             0.00065385,             0.00065385
                      2,                 1.6432,                 1.1071,                 1.1458,                0.57053,                0.59295,                0.56466,                0.23496,                 2.0304,                 1.4285,                 1.3933,              0.0013074,              0.0013074,              0.0013074
                      3,                 1.7111,                 1.1763,                 1.1762,                0.55259,                0.60342,                0.55544,                0.24116,                 1.9067,                 1.4457,                 1.3338,              0.0019478,              0.0019478,              0.0019478
                      4,                 1.7012,                 1.1885,                 1.1746,                 0.5316,                0.59659,                0.55728,                0.23534,                 1.9528,                 1.4281,                 1.3795,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.6975,                 1.2031,                 1.1808,                0.56266,                0.57232,                0.56765,                0.22847,                 2.0245,                 1.5045,                 1.4493,              0.0019208,              0.0019208,              0.0019208
                      6,                  1.738,                 1.2088,                 1.1864,                0.52325,                0.49611,                0.51138,                0.22064,                 1.9612,                 1.6527,                 1.3451,               0.001901,               0.001901,               0.001901
                      7,                 1.6825,                 1.1824,                 1.1725,                 0.5417,                0.55365,                0.51898,                0.22102,                 2.0239,                 1.4926,                 1.4365,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.7092,                 1.1923,                 1.1789,                0.56601,                0.56921,                0.54317,                0.22717,                 2.0461,                 1.5031,                 1.4031,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.7158,                 1.2091,                 1.1881,                0.53362,                0.57543,                0.54804,                0.23498,                 1.8945,                 1.5181,                 1.3403,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.7014,                 1.1957,                 1.1832,                0.58198,                0.57377,                 0.5707,                0.25308,                 1.9358,                 1.4282,                 1.3602,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.6769,                 1.1685,                 1.1599,                 0.5582,                 0.5832,                0.53845,                0.23115,                 2.0033,                 1.4303,                 1.3729,               0.001802,               0.001802,               0.001802
                     12,                  1.681,                 1.1774,                 1.1679,                0.56387,                0.54088,                0.53937,                0.23049,                 1.9822,                 1.4964,                 1.3713,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.6756,                 1.1703,                 1.1727,                0.57694,                0.63297,                0.56617,                0.24636,                 1.9446,                 1.4564,                 1.3813,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.6602,                 1.1716,                 1.1613,                0.54477,                 0.5521,                0.53902,                0.22579,                 2.0327,                 1.5565,                  1.441,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.6727,                 1.1577,                 1.1648,                0.57073,                0.57076,                0.55678,                0.23667,                 1.9537,                 1.4847,                 1.3805,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.6682,                 1.1525,                 1.1548,                0.54764,                 0.5832,                0.55506,                0.24406,                 1.9607,                 1.4821,                 1.3892,               0.001703,               0.001703,               0.001703
                     17,                 1.6733,                 1.1486,                 1.1615,                0.57992,                0.56454,                0.55975,                0.25001,                 1.8697,                 1.5274,                 1.3561,              0.0016832,              0.0016832,              0.0016832
                     18,                  1.663,                 1.1548,                 1.1657,                0.55148,                0.59409,                0.54899,                0.22826,                  2.026,                 1.4466,                  1.392,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.6523,                 1.1247,                 1.1543,                0.55974,                 0.5972,                0.56812,                0.24273,                 1.9242,                 1.4303,                 1.3615,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.6655,                 1.1422,                  1.172,                0.58217,                0.58507,                0.57229,                0.25095,                 1.9003,                 1.4433,                 1.3265,              0.0016238,              0.0016238,              0.0016238
                     21,                  1.641,                 1.1167,                 1.1486,                0.56071,                0.58009,                0.57262,                0.25175,                 1.8937,                 1.4206,                 1.3394,               0.001604,               0.001604,               0.001604
                     22,                 1.6378,                 1.1112,                 1.1517,                0.57743,                0.55832,                0.54841,                0.23281,                 2.0093,                 1.4676,                 1.4012,              0.0015842,              0.0015842,              0.0015842
